,0,1
376,8190.44,1570226400000.0
377,8178.5,1570227300000.0
378,8153.58,1570228200000.0
379,8161.55,1570229100000.0
380,8147.65,1570230000000.0
381,8140.01,1570230900000.0
382,8146.73,1570231800000.0
383,8144.09,1570232700000.0
384,8117.54,1570233600000.0
385,8116.83,1570234500000.0
386,8129.44,1570235400000.0
387,8127.62,1570236300000.0
388,8114.65,1570237200000.0
389,8117.52,1570238100000.0
390,8123.44,1570239000000.0
391,8111.19,1570239900000.0
392,8119.34,1570240800000.0
393,8125.95,1570241700000.0
394,8126.78,1570242600000.0
395,8121.64,1570243500000.0
396,8138.1,1570244400000.0
397,8136.93,1570245300000.0
398,8131.27,1570246200000.0
399,8138.69,1570247100000.0
400,8143.12,1570248000000.0
401,8135.64,1570248900000.0
402,8134.55,1570249800000.0
403,8127.51,1570250700000.0
404,8124.59,1570251600000.0
405,8123.11,1570252500000.0
406,8116.92,1570253400000.0
407,8116.41,1570254300000.0
408,8116.43,1570255200000.0
409,8128.87,1570256100000.0
410,8129.44,1570257000000.0
411,8130.94,1570257900000.0
412,8108.76,1570258800000.0
413,8109.62,1570259700000.0
414,8111.48,1570260600000.0
415,8113.19,1570261500000.0
416,8099.13,1570262400000.0
417,8086.62,1570263300000.0
418,8075.68,1570264200000.0
419,8091.15,1570265100000.0
420,8096.75,1570266000000.0
421,8091.21,1570266900000.0
422,8089.52,1570267800000.0
423,8082.86,1570268700000.0
424,8075.84,1570269600000.0
425,8090.82,1570270500000.0
426,8094.42,1570271400000.0
427,8093.74,1570272300000.0
428,8092.27,1570273200000.0
429,8087.06,1570274100000.0
430,8081.44,1570275000000.0
431,8092.68,1570275900000.0
432,8084.63,1570276800000.0
433,8074.52,1570277700000.0
434,8074.52,1570278600000.0
435,8070.86,1570279500000.0
436,8061.13,1570280400000.0
437,8023.2,1570281300000.0
438,8037.57,1570282200000.0
439,8058.2,1570283100000.0
440,8061.42,1570284000000.0
441,8060.35,1570284900000.0
442,8055.46,1570285800000.0
443,8034.92,1570286700000.0
444,8047.28,1570287600000.0
445,8040.02,1570288500000.0
446,8057.06,1570289400000.0
447,8089.92,1570290300000.0
448,8090.27,1570291200000.0
449,8053.11,1570292100000.0
450,8050.36,1570293000000.0
451,8068.89,1570293900000.0
452,8055.3,1570294800000.0
453,8054.71,1570295700000.0
454,8054.07,1570296600000.0
455,8038.26,1570297500000.0
456,8055.65,1570298400000.0
457,8071.24,1570299300000.0
458,8066.16,1570300200000.0
459,8061.43,1570301100000.0
460,8087.88,1570302000000.0
461,8084.25,1570302900000.0
462,8076.06,1570303800000.0
463,8074.1,1570304700000.0
464,8066.15,1570305600000.0
465,8080.27,1570306500000.0
466,8095.21,1570307400000.0
467,8087.05,1570308300000.0
468,8090.54,1570309200000.0
469,8140.0,1570310100000.0
470,8153.49,1570311000000.0
471,8143.46,1570311900000.0
472,8141.71,1570312800000.0
473,8142.32,1570313700000.0
474,8123.87,1570314600000.0
475,8129.68,1570315500000.0
476,8122.23,1570316400000.0
477,8116.29,1570317300000.0
478,8126.97,1570318200000.0
479,8128.65,1570319100000.0
480,8142.44,1570320000000.0
481,8131.26,1570320900000.0
482,8127.03,1570321800000.0
483,8131.2,1570322700000.0
484,8112.08,1570323600000.0
485,8114.23,1570324500000.0
486,8101.38,1570325400000.0
487,8060.34,1570326300000.0
488,8048.33,1570327200000.0
489,8035.32,1570328100000.0
490,8060.22,1570329000000.0
491,8057.01,1570329900000.0
492,8048.74,1570330800000.0
493,8056.76,1570331700000.0
494,8047.4,1570332600000.0
495,8038.36,1570333500000.0
496,8038.52,1570334400000.0
497,8051.49,1570335300000.0
498,8056.44,1570336200000.0
499,8071.65,1570337100000.0
500,8071.65,1570337100000.0
501,8057.35,1570338000000.0
502,8061.66,1570338900000.0
503,8040.81,1570339800000.0
504,8039.75,1570340700000.0
505,8056.8,1570341600000.0
506,8047.07,1570342500000.0
507,8034.84,1570343400000.0
508,7961.74,1570344300000.0
509,7950.74,1570345200000.0
510,7963.57,1570346100000.0
511,7970.0,1570347000000.0
512,7959.51,1570347900000.0
513,7950.06,1570348800000.0
514,7958.03,1570349700000.0
515,7939.39,1570350600000.0
516,7876.54,1570351500000.0
517,7915.4,1570352400000.0
518,7920.88,1570353300000.0
519,7916.47,1570354200000.0
520,7925.65,1570355100000.0
521,7918.5,1570356000000.0
522,7919.4,1570356900000.0
523,7917.15,1570357800000.0
524,7906.77,1570358700000.0
525,7942.55,1570359600000.0
526,7942.24,1570360500000.0
527,7937.88,1570361400000.0
528,7943.53,1570362300000.0
529,7961.53,1570363200000.0
530,7944.7,1570364100000.0
531,7944.7,1570365000000.0
532,7937.75,1570365900000.0
533,7927.68,1570366800000.0
534,7924.36,1570367700000.0
535,7920.26,1570368600000.0
536,7896.38,1570369500000.0
537,7874.44,1570370400000.0
538,7881.5,1570371300000.0
539,7901.96,1570372200000.0
540,7919.32,1570373100000.0
541,7956.34,1570374000000.0
542,8022.58,1570374900000.0
543,8016.43,1570375800000.0
544,8008.65,1570376700000.0
545,7991.24,1570377600000.0
546,7979.34,1570378500000.0
547,7983.5,1570379400000.0
548,7986.97,1570380300000.0
549,7991.71,1570381200000.0
550,8010.02,1570382100000.0
551,7993.81,1570383000000.0
552,7974.21,1570383900000.0
553,7974.58,1570384800000.0
554,7943.78,1570385700000.0
555,7846.06,1570386600000.0
556,7838.93,1570387500000.0
557,7869.26,1570388400000.0
558,7854.38,1570389300000.0
559,7869.43,1570390200000.0
560,7888.92,1570391100000.0
561,7883.2,1570392000000.0
562,7916.59,1570392900000.0
563,7892.47,1570393800000.0
564,7891.34,1570394700000.0
565,7886.85,1570395600000.0
566,7881.5,1570396500000.0
567,7894.32,1570397400000.0
568,7919.03,1570398300000.0
569,7898.62,1570399200000.0
570,7869.1,1570400100000.0
571,7858.13,1570401000000.0
572,7854.15,1570401900000.0
573,7841.45,1570402800000.0
574,7853.35,1570403700000.0
575,7866.88,1570404600000.0
576,7866.87,1570405500000.0
577,7834.21,1570406400000.0
578,7779.83,1570407300000.0
579,7823.27,1570408200000.0
580,7807.51,1570409100000.0
581,7814.15,1570410000000.0
582,7810.78,1570410900000.0
583,7790.51,1570411800000.0
584,7814.07,1570412700000.0
585,7827.14,1570413600000.0
586,7831.15,1570414500000.0
587,7820.71,1570415400000.0
588,7820.78,1570416300000.0
589,7867.4,1570417200000.0
590,7883.07,1570418100000.0
591,7875.28,1570419000000.0
592,7861.44,1570419900000.0
593,7860.63,1570420800000.0
594,7865.98,1570421700000.0
